user_id,user_request,intent
u001,Suggest something for breakfast,breakfast_request
u001,Any spicy dinner ideas?,spicy_dinner
u001,"Hey, Suggest something for breakfast please",breakfast_request
u001,Craving something with a kick for dinner now,spicy_dinner
u001,What can I eat for breakfast? now,breakfast_request
u001,I'm craving paneer,paneer_craving
u001,Suggest a light veg dish now,light_veg
u001,Looking for something light and vegetarian asap,light_veg
u001,Give me a chicken dish for lunch!,non_veg_lunch
u001,Any healthy veg options? please,light_veg
u001,I want non-veg for lunch,non_veg_lunch
u001,Any evening snack ideas?,snack_time
u001,"Hey, Suggest something with paneer now",paneer_craving
u001,Suggest a light veg dish,light_veg
u001,Suggest a snack,snack_time
u001,I'm craving paneer asap,paneer_craving
u001,Got any paneer dishes?,paneer_craving
u001,Any evening snack ideas?!,snack_time
u001,I want something spicy for dinner,spicy_dinner
u001,Any spicy dinner ideas?,spicy_dinner
u001,"Hey, I want something to munch on asap",snack_time
u001,Got any paneer dishes?,paneer_craving
u001,Any evening snack ideas?,snack_time
u001,Any evening snack ideas?!,snack_time
u001,Looking for something light and vegetarian,light_veg
u001,"Hey, Suggest something with paneer asap",paneer_craving
u001,Suggest something for breakfast,breakfast_request
u002,"Hey, I want non-veg for lunch",non_veg_lunch
u002,Any evening snack ideas?,snack_time
u002,Suggest a snack,snack_time
u002,What can I eat for breakfast?,breakfast_request
u002,"Hey, Suggest a snack",snack_time
u002,Any healthy veg options?,light_veg
u002,I'm craving paneer!,paneer_craving
u002,Any healthy veg options?,light_veg
u002,I want something spicy for dinner asap,spicy_dinner
u002,I want non-veg for lunch,non_veg_lunch
u002,I want something to munch on!,snack_time
u002,"Hey, Give me a chicken dish for lunch",non_veg_lunch
u002,I want something spicy for dinner,spicy_dinner
u002,"Hey, What can I eat for breakfast? please",breakfast_request
u002,Suggest a biryani for lunch,non_veg_lunch
u002,"Hey, Give me a chicken dish for lunch",non_veg_lunch
u002,Suggest a snack today,snack_time
u002,Craving something with a kick for dinner today,spicy_dinner
u002,Suggest a snack,snack_time
u002,I want something to munch on asap,snack_time
u002,Craving something with a kick for dinner please,spicy_dinner
u002,Looking for something light and vegetarian,light_veg
u002,"Hey, Suggest something with paneer",paneer_craving
u002,Suggest a biryani for lunch please,non_veg_lunch
u002,Got any paneer dishes?,paneer_craving
u003,"Hey, Give me a chicken dish for lunch",non_veg_lunch
u003,"Hey, Any healthy veg options?",light_veg
u003,"Hey, Got any paneer dishes? now",paneer_craving
u003,"Hey, Suggest a snack",snack_time
u003,"Hey, Any evening snack ideas? please",snack_time
u003,What can I eat for breakfast?,breakfast_request
u003,What can I eat for breakfast?,breakfast_request
u003,I want something to munch on,snack_time
u003,I'm craving paneer,paneer_craving
u003,"Hey, Suggest something with paneer now",paneer_craving
u003,Looking for something light and vegetarian,light_veg
u003,What can I eat for breakfast?,breakfast_request
u003,Craving something with a kick for dinner,spicy_dinner
u003,Suggest a biryani for lunch,non_veg_lunch
u003,Suggest a snack,snack_time
u003,Suggest something with paneer,paneer_craving
u003,I'm craving paneer,paneer_craving
u003,What can I eat for breakfast?,breakfast_request
u003,Suggest a light veg dish,light_veg
u003,Looking for something light and vegetarian!,light_veg
u003,I want non-veg for lunch now,non_veg_lunch
u003,I want non-veg for lunch,non_veg_lunch
u003,Got any paneer dishes?,paneer_craving
u003,I want non-veg for lunch now,non_veg_lunch
u003,"Hey, Suggest a biryani for lunch",non_veg_lunch
u003,I want something to munch on,snack_time
u004,Suggest a light veg dish,light_veg
u004,I want something to munch on,snack_time
u004,I'm craving paneer,paneer_craving
u004,Suggest something with paneer,paneer_craving
u004,"Hey, Looking for something light and vegetarian",light_veg
u004,Give me a mild breakfast option,breakfast_request
u004,Suggest a snack asap,snack_time
u004,Looking for something light and vegetarian!,light_veg
u004,"Hey, Suggest a biryani for lunch please",non_veg_lunch
u004,Looking for something light and vegetarian,light_veg
u004,"Hey, I want non-veg for lunch",non_veg_lunch
u004,Looking for something light and vegetarian,light_veg
u004,Craving something with a kick for dinner today,spicy_dinner
u004,What can I eat for breakfast?,breakfast_request
u004,Any evening snack ideas?,snack_time
u004,Suggest a light veg dish,light_veg
u004,I want non-veg for lunch asap,non_veg_lunch
u004,I want something spicy for dinner,spicy_dinner
u004,"Hey, Looking for something light and vegetarian",light_veg
u004,Suggest something for breakfast,breakfast_request
u004,"Hey, I want something to munch on",snack_time
u004,Suggest something for breakfast,breakfast_request
u004,"Hey, Suggest something for breakfast",breakfast_request
u004,Suggest a snack,snack_time
u004,Any evening snack ideas?,snack_time
u004,Suggest a light veg dish,light_veg
u004,"Hey, Any evening snack ideas? today",snack_time
u004,Suggest something with paneer,paneer_craving
u004,What can I eat for breakfast?,breakfast_request
u005,Suggest a biryani for lunch today,non_veg_lunch
u005,"Hey, What can I eat for breakfast?",breakfast_request
u005,"Hey, Suggest a snack please",snack_time
